Year,pompadour hairstyle,ducktail haircut,pixie cut,beehive hairstyle,mop-top,bouffant hairstyle,crew cut,afro hairstyle,shag haircut,feathered hair,cornrows,mullet haircut,jheri curl,perm hairstyle,hi-top fade,rattail haircut,mohawk hairstyle,dreadlocks,bowl cut,frosted tips,buzz cut,faux hawk,emo hair,undercut hairstyle,man bun,curtain bangs,wolf cut
1960,0.0,1.9517381044664717,0.0,0.0,0.0,0.08485817604153567,37.16787944085809,0.0,0.0,0.42429088020767836,0.6244425532209164,0.0,0.0,0.0,0.0,0.0,0.0,1.3380911934035566,0.6788654083322854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42429088020767836
1961,0.0,0.4755331683981012,0.4755331683981012,0.0,0.5831886085161386,0.07925553269227947,39.15223345529739,0.0,0.0,4.755332128070222,0.9164392023031098,0.0,0.0,0.0,0.0,0.0,0.0,0.1666253107712734,1.4265996162166061,0.07925553269227947,0.0,0.0,0.0,0.0,0.0,0.07925553269227947,0.0
1962,0.0,1.6551956472099505,0.5266531655223616,0.0,0.0,0.0752361645206534,35.210526050377666,0.0,0.0,0.2257084935619602,0.7905757160031612,0.0,0.0,0.0,0.0,0.0,0.0,0.7905757160031612,0.8275978236049752,0.2257084935619602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,1.3395832221263504,0.0,0.21151314033573954,4.59513183059812,0.0,34.9701707591521,0.0,0.0,0.7050438011191318,0.1482300532318348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775548181231045,0.0,0.07050438011191318,0.0,0.0,0.0,0.0,0.0,0.07050438011191318
1964,0.0,0.22483244432880412,0.0,0.0,1.339412691869768,0.0,29.453049776861917,0.0,0.0,4.346760729134758,0.5515228829189311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2740505317410111,0.14988829621920274,0.14988829621920274,0.0,0.0,0.0,0.0,0.0,0.22483244432880412
1965,0.0,0.6114732609141527,0.0,0.0,1.5710703848981211,0.13588294378585886,29.48659805213083,0.0,0.0,0.2717658875717177,0.4998860214655565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3779516133970446,0.13588294378585886,0.0,0.0,0.0,0.0,0.06794147189292943,0.0,0.0
1966,0.0,1.0556600038569286,0.1979362507231741,0.0,10.884337875438632,0.0,32.26361044994519,0.0,0.0,0.1979362507231741,0.20798099353847022,0.0,0.0,0.0,0.0,0.0,0.0,0.7625969300484314,1.583490005785393,0.1979362507231741,0.0,0.0,0.0,0.0,0.0,0.0,0.5278300019284643
1967,0.059928957629740154,0.17978687982811437,0.0,0.11985791525948031,3.777190116238671,0.0,34.51907915064112,0.0,0.0,0.059928957629740154,0.5036253636347965,0.0,0.0,0.0,0.0,0.0,0.0,0.6295317045434956,1.7379397920791462,0.23971583051896062,0.0,0.0,0.0,0.0,0.0,0.059928957629740154,0.11985791525948031
1968,0.0,0.35231850770145456,0.17615925385072728,0.05871975128357576,6.479084824206893,0.23487900513430304,33.76385748765642,0.0,0.0,0.4110382589850303,0.6170557398377241,0.0,0.0,0.0,0.0,0.0,0.0,1.048994668906289,2.4662294428878795,0.23487900513430304,0.11743950256715152,0.0,0.0,0.0,0.17615925385072728,0.0,0.4697580102686061
1969,0.0,0.6445744493710492,0.46878140258499457,0.0,7.016871084175591,0.23439070129249728,33.928053255749546,0.0,0.0,1.4063441522438325,1.0463755417688958,0.0,0.0,0.0,0.0,0.0,0.0,0.7386180000956699,1.2891488987420985,0.0,0.05859767532312432,0.0,0.0,0.0,0.0,0.0,0.11719535064624864
1970,0.05892514948202532,0.41247605331307113,0.2946257404712327,0.0,6.624664372623101,0.0,37.00499462411244,0.05892514948202532,0.17677545538496986,0.23570059792810127,0.4953020216191817,0.0,0.0,0.0,0.0,0.0,0.0,0.6810402797263748,2.121305353597336,0.11785029896405064,0.05892514948202532,0.0,0.0,0.0,0.05892514948202532,0.0,0.41247605331307113
1971,0.0,0.6492278936676144,0.1770621566032915,0.05902071886776383,5.641616951379547,0.0,33.64181111464859,0.05902071886776383,0.0,0.5311864836876623,0.8059452549780133,0.0,0.0,0.0,0.0,0.0,0.0,0.24798316178298307,0.8853107691386697,0.1770621566032915,0.05902071886776383,0.0,0.0,0.0,0.1770621566032915,0.23608287547105533,0.1770621566032915
1972,0.0,0.2991236147664722,0.5982472295329444,0.0,8.48315728774196,0.0,33.50184485384489,0.0,0.7178966310306123,0.7178966310306123,0.754058371299493,0.0,0.0,0.0,0.0,0.0,0.0,0.5027055993700458,1.7349168768276968,0.11964944313103132,0.0,0.0,0.0,0.0,0.05982472156551566,0.0,0.4785977725241253
